Name,Pretrained,Segments,Clip Length,Top-1,Hashtag,Train Command,Train Log
inceptionv1_kinetics400 [3]_,ImageNet,7,1,69.1,6dcdafb1,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/inceptionv1_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/inceptionv1_kinetics400_tsn.log>`_
inceptionv3_kinetics400 [3]_,ImageNet,7,1,72.5,8a4a6946,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/inceptionv3_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/inceptionv3_kinetics400_tsn.log>`_
resnet18_v1b_kinetics400 [3]_,ImageNet,7,1,65.5,46d5a985,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet18_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet18_v1b_kinetics400_tsn.log>`_
resnet34_v1b_kinetics400 [3]_,ImageNet,7,1,69.1,8a8d0d8d,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet34_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet34_v1b_kinetics400_tsn.log>`_
resnet50_v1b_kinetics400 [3]_,ImageNet,7,1,69.9,cc757e5c,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet50_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet50_v1b_kinetics400_tsn.log>`_
resnet101_v1b_kinetics400 [3]_,ImageNet,7,1,71.3,5bb6098e,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet101_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet101_v1b_kinetics400_tsn.log>`_
resnet152_v1b_kinetics400 [3]_,ImageNet,7,1,71.5,9bc70c66,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet152_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet152_v1b_kinetics400_tsn.log>`_
c3d_kinetics400 [2]_,Scratch,1,16 (32/2),59.5,a007b5fa,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/c3d_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/c3d_kinetics400.log>`_
p3d_resnet50_kinetics400 [5]_,Scratch,1,16 (32/2),71.6,671ba81c,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/p3d_resnet50_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/p3d_resnet50_kinetics400.log>`_
p3d_resnet101_kinetics400 [5]_,Scratch,1,16 (32/2),72.6,b30e3a63,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/p3d_resnet101_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/p3d_resnet101_kinetics400.log>`_
r2plus1d_resnet18_kinetics400 [6]_,Scratch,1,16 (32/2),70.8,5a14d1f9,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet18_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet18_kinetics400.log>`_
r2plus1d_resnet34_kinetics400 [6]_,Scratch,1,16 (32/2),71.6,de2e592b,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet34_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet34_kinetics400.log>`_
r2plus1d_resnet50_kinetics400 [6]_,Scratch,1,16 (32/2),73.9,deaefb14,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet50_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet50_kinetics400.log>`_
i3d_inceptionv1_kinetics400 [4]_,ImageNet,1,32 (64/2),71.8,81e0be10,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_inceptionv1_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_inceptionv1_kinetics400.log>`_
i3d_inceptionv3_kinetics400 [4]_,ImageNet,1,32 (64/2),73.6,f14f8a99,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_inceptionv3_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_inceptionv3_kinetics400.log>`_
i3d_resnet50_v1_kinetics400 [4]_,ImageNet,1,32 (64/2),74.0,568a722e,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_resnet50_v1_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_resnet50_v1_kinetics400.log>`_
i3d_resnet101_v1_kinetics400 [4]_,ImageNet,1,32 (64/2),75.1,6b69f655,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_resnet101_v1_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_resnet101_v1_kinetics400.log>`_
i3d_nl5_resnet50_v1_kinetics400 [7]_,ImageNet,1,32 (64/2),75.2,3c0e47ea,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_nl5_resnet50_v1_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_nl5_resnet50_v1_kinetics400.log>`_
i3d_nl10_resnet50_v1_kinetics400 [7]_,ImageNet,1,32 (64/2),75.3,bfb58c41,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_nl10_resnet50_v1_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_nl10_resnet50_v1_kinetics400.log>`_
i3d_nl5_resnet101_v1_kinetics400 [7]_,ImageNet,1,32 (64/2),76.0,fbfc1d30,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_nl5_resnet101_v1_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_nl5_resnet101_v1_kinetics400.log>`_
i3d_nl10_resnet101_v1_kinetics400 [7]_,ImageNet,1,32 (64/2),76.1,59186c31,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_nl10_resnet101_v1_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_nl10_resnet101_v1_kinetics400.log>`_
slowfast_4x16_resnet50_kinetics400 [8]_,Scratch,1,36 (64/1),75.3,9d650f51,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/slowfast_4x16_resnet50_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/slowfast_4x16_resnet50_kinetics400.log>`_
slowfast_8x8_resnet50_kinetics400 [8]_,Scratch,1,40 (64/1),76.6,d6b25339,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/slowfast_8x8_resnet50_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/slowfast_8x8_resnet50_kinetics400.log>`_
slowfast_8x8_resnet101_kinetics400 [8]_,Scratch,1,40 (64/1),77.2,fbde1a7c,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/slowfast_8x8_resnet101_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/slowfast_8x8_resnet101_kinetics400.log>`_
