Name,Method,pixAcc,mIoU,Command,log
fcn_resnet50_ade,FCN [2]_,79,39.5,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/fcn_resnet50_ade.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/fcn_resnet50_ade.log>`_
fcn_resnet101_ade,FCN [2]_,80.6,41.6,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/fcn_resnet101_ade.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/fcn_resnet101_ade.log>`_
psp_resnet50_ade,PSP [3]_,80.1,41.5,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/psp_resnet50_ade.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/psp_resnet50_ade.log>`_
psp_resnet101_ade,PSP [3]_,80.8,43.3,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/psp_resnet101_ade.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/psp_resnet101_ade.log>`_
deeplab_resnet50_ade,DeepLabV3 [4]_,80.5,42.5,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnet50_ade.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnet50_ade.log>`_
deeplab_resnet101_ade,DeepLabV3 [4]_,81.1,44.1,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnet101_ade.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnet101_ade.log>`_
deeplab_resnest50_ade,DeepLabV3 + ResNeSt [4]_ [9]_,81.2,45.1,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnest50_ade.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnest50_ade.log>`_
deeplab_resnest101_ade,DeepLabV3 + ResNeSt [4]_ [9]_,82.1,46.9,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnest101_ade.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnest101_ade.log>`_
deeplab_resnest200_ade,DeepLabV3 + ResNeSt [4]_ [9]_,82.5,48.4,,
deeplab_resnest269_ade,DeepLabV3 + ResNeSt [4]_ [9]_,82.6,47.6,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnest269_ade.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/segmentation/deeplab_resnest269_ade.log>`_